Title,Authors,DOI,Abstract,Study_Type
"Electronic Cigarette Vaping with Nicotine Causes Increased Thrombogenicity and 
Impaired Microvascular Function in Healthy Volunteers: A Randomised Clinical 
Trial.","Lyytinen G(1), Brynedal A(2), Anesäter E(3), Antoniewicz L(4), Blomberg A(2), 
Wallén H(3), Bosson JA(2), Hedman L(5), Mobarrez F(6), Tehrani S(7), Lundbäck 
M(3).",10.1007/s12012-023-09802-9,"Electronic cigarette (EC) vaping is increasingly popular, despite growing  evidence of adverse health effects. To further evaluate the impact of EC use on  vascular health, we investigated the effects of brief EC inhalation on  flow-dependent thrombus formation and microcirculation in healthy volunteers.  The study was performed with a randomised double-blind crossover design.  Twenty-two healthy subjects aged between 18 and 45 years with occasional tobacco  use were recruited. Subjects inhaled 30 puffs of EC aerosol with and without  nicotine on two occasions separated by a wash-out period of at least 1 week.  Blood samples were collected at baseline and at 15 and 60 min following exposure  and analysed with the Total-Thrombus-formation analysis system evaluating  fibrin-rich thrombus formation and platelet thrombus formation in whole blood  under flow. Microvascular function was assessed at baseline and 30 min after  exposure by laser speckle contrast imaging and iontophoresis of acetylcholine  and sodium nitroprusside (SNP) to evaluate the endothelium-dependent and  independent pathways of vasodilation. Compared with nicotine free EC aerosol,  exposure to EC aerosol with nicotine significantly increased platelet thrombus  formation and fibrin-rich thrombus formation at 15 min (p = 0.017 and p = 0.037,  respectively) with normalisation after 60 min. Peak SNP-mediated microvascular  perfusion, i.e. endothelium-independent vasodilation, was reduced following EC  vaping with nicotine compared with baseline (p = 0.006). Thirty puffs of EC  aerosol with nicotine increased platelet and fibrin-dependent thrombus formation  and reduced microvascular dilatation capacity. No compelling effects of EC  vaping without nicotine were observed, indicating nicotine as the main effector.  Trial registration: ClinicalTrials.gov Identifier: NCT04175457 URL:  https://clinicaltrials.gov/ct2/show/NCT04175457.",Randomised double-blind crossover EC
"Saliva and Lung Microbiome Associations with Electronic Cigarette Use and 
Smoking.","Ying KL(1)(2), Brasky TM(1)(3), Freudenheim JL(4), McElroy JP(1)(5), Nickerson 
QA(1), Song MA(6), Weng DY(1), Wewers MD(7), Whiteman NB(1), Mathe 
EA(#)(1)(5)(8), Shields PG(#)(1)(3).",10.1158/1940-6207.CAPR-21-0601,"The microbiome has increasingly been linked to cancer. Little is known about the  lung and oral cavity microbiomes in smokers, and even less for electronic  cigarette (EC) users, compared with never-smokers. In a cross-sectional study (n  = 28) of smokers, EC users, and never-smokers, bronchoalveolar lavage and saliva  samples underwent metatranscriptome profiling to examine associations with lung  and oral microbiomes. Pairwise comparisons assessed differentially abundant  bacteria species. Total bacterial load was similar between groups, with no  differences in bacterial diversity across lung microbiomes. In lungs, 44  bacteria species differed significantly (FDR < 0.1) between  smokers/never-smokers, with most decreased in smokers. Twelve species differed  between smokers/EC users, all decreased in smokers of which Neisseria sp. KEM232  and Curvibacter sp. AEP1-3 were observed. Among the top five decreased species  in both comparisons, Neisseria elongata, Neisseria sicca, and Haemophilus  parainfluenzae were observed. In the oral microbiome, 152 species were  differentially abundant for smokers/never-smokers, and 17 between  smokers/electronic cigarette users, but only 21 species were differentially  abundant in both the lung and oral cavity. EC use is not associated with changes  in the lung microbiome compared with never-smokers, indicating EC toxicity does  not affect microbiota. Statistically different bacteria in smokers compared with  EC users and never-smokers were almost all decreased, potentially due to toxic  effects of cigarette smoke. The low numbers of overlapping oral and lung  microbes suggest that the oral microbiome is not a surrogate for analyzing  smoking-related effects in the lung. PREVENTION RELEVANCE: The microbiome affects cancer and other disease risk. The  effects of e-cig usage on the lung microbiome are essentially unknown. Given the  importance of lung microbiome dysbiosis populated by oral species which have  been observed to drive lung cancer progression, it is important to study effects  of e-cig use on microbiome.",Cross-sectional metatranscript
"Electronic nicotine delivery system-induced alterations in oral health via 
saliva assessment.","Alqahtani S(1)(2), Cooper B(3), Spears CA(4), Wright C(4), Shannahan J(1).",10.1177/1535370220941258,"The use of traditional tobacco products is a known risk factor for the  development of diseases including periodontal disease. To date, the potential  oral health effects related to electronic nicotine delivery systems (ENDS) use  is unknown. This study collected saliva from ENDS users and never tobacco users  to examine differences in the oral cavity of inflammatory cytokines and  metabolites. The identification and measurement of these ENDS-related changes  provide insight into disease pathways potentially associated with ENDS use. The  utilization of saliva samples collected from human participates enhances the  application of the findings compared to the majority of studies using cell  culture and animal models. In addition, these foundational findings can inform  future studies to examining specific pathways identified, interventional  approaches, and application of translatable biomarkers of ENDS use.",Saliva study on ENDS
Electronic cigarettes and nicotine clinical pharmacology.,"Schroeder MJ(1), Hoffman AC.",10.1136/tobaccocontrol-2013-051469,"OBJECTIVE: To review the available literature evaluating electronic cigarette  (e-cigarette) nicotine clinical pharmacology in order to understand the  potential impact of e-cigarettes on individual users, nicotine dependence and  public health. METHODS: Literature searches were conducted between 1 October 2012 and 30  September 2013 using key terms in five electronic databases. Studies were  included in the review if they were in English and publicly available;  non-clinical studies, conference abstracts and studies exclusively measuring  nicotine content in e-cigarette cartridges were excluded from the review. RESULTS: Nicotine yields from automated smoking machines suggest that  e-cigarettes deliver less nicotine per puff than traditional cigarettes, and  clinical studies indicate that e-cigarettes deliver only modest nicotine  concentrations to the inexperienced e-cigarette user. However, current  e-cigarette smokers are able to achieve systemic nicotine and/or cotinine  concentrations similar to those produced from traditional cigarettes. Therefore,  user experience is critically important for nicotine exposure, and may  contribute to the products' ability to support and maintain nicotine dependence. CONCLUSIONS: Knowledge about e-cigarette nicotine pharmacology remains limited.  Because a user's e-cigarette experience may significantly impact nicotine  delivery, future nicotine pharmacokinetic and pharmacodynamic studies should be  conducted in experienced users to accurately assess the products' impact on  public health.",Literature review on e-cigaret
"Electronic cigarette solvents, pulmonary irritation, and endothelial 
dysfunction: role of acetaldehyde and formaldehyde.","Jin L(1)(2), Lynch J(1)(2)(3), Richardson A(1)(2)(4), Lorkiewicz P(1)(2)(3)(5), 
Srivastava S(1)(2), Theis W(1)(2), Shirk G(1)(2), Hand A(1)(2), Bhatnagar 
A(1)(2)(3)(6), Srivastava S(1)(2)(3)(6), Conklin DJ(1)(2)(3)(6).",10.1152/ajpheart.00878.2020,"After more than a decade of electronic cigarette (E-cig) use in the United  States, uncertainty persists regarding E-cig use and long-term cardiopulmonary  disease risk. As all E-cigs use propylene glycol and vegetable glycerin (PG-VG)  and generate abundant saturated aldehydes, mice were exposed by inhalation to  PG-VG-derived aerosol, formaldehyde (FA), acetaldehyde (AA), or filtered air.  Biomarkers of exposure and cardiopulmonary injury were monitored by mass  spectrometry (urine metabolites), radiotelemetry (respiratory reflexes),  isometric myography (aorta), and flow cytometry (blood markers). Acute PG-VG  exposure significantly affected multiple biomarkers including pulmonary reflex  (decreased respiratory rate, -50%), endothelium-dependent relaxation  (-61.8 ± 4.2%), decreased WBC (-47 ± 7%), and, increased RBC (+6 ± 1%) and  hemoglobin (+4 ± 1%) versus air control group. Notably, FA exposure  recapitulated the prominent effects of PG-VG aerosol on pulmonary irritant  reflex and endothelial dysfunction, whereas AA exposure did not. To attempt to  link PG-VG exposure with FA or AA exposure, urinary formate and acetate levels  were measured by GC-MS. Although neither FA nor AA exposure altered excretion of  their primary metabolite, formate or acetate, respectively, compared with  air-exposed controls, PG-VG aerosol exposure significantly increased  post-exposure urinary acetate but not formate. These data suggest that E-cig use  may increase cardiopulmonary disease risk independent of the presence of  nicotine and/or flavorings. This study indicates that FA levels in tobacco  product-derived aerosols should be regulated to levels that do not induce  biomarkers of cardiopulmonary harm. There remains a need for reliable biomarkers  of exposure to inhaled FA and AA.NEW & NOTEWORTHY Use of electronic cigarettes  (E-cig) induces endothelial dysfunction (ED) in healthy humans, yet the specific  constituents in E-cig aerosols that contribute to ED are unknown. Our study  implicates formaldehyde that is formed in heating of E-cig solvents (propylene  glycol, PG; vegetable glycerin, VG). Exposure to formaldehyde or PG-VG-derived  aerosol alone stimulated ED in female mice. As ED was independent of nicotine  and flavorants, these data reflect a ""universal flaw"" of E-cigs that use  PG-VG.Listen to this article's corresponding podcast at  https://ajpheart.podbean.com/e/e-cigarettes-aldehydes-and-endothelial-dysfunction/.",Animal inhalation study on E
Exploring the potential neurotoxicity of vaping vitamin E or vitamin E acetate.,"Stratford K(1), Kc P(2), Rudy S(3), Weidner AS(3), Callahan-Lyon P(3), Valerio 
LG Jr(4).",10.1016/j.taap.2021.115813,"Serious adverse health effects have been reported with the use of vaping  products, including neurologic disorders and e-cigarette or vaping product  use-associated lung injury (EVALI). Vitamin E acetate, likely added as a diluent  to cannabis-containing products, was linked to EVALI. Literature searches were  performed on vitamin E and vitamin E acetate-associated neurotoxicity. Blood  brain barrier (BBB) penetration potential of vitamin E and vitamin E acetate  were evaluated using cheminformatic techniques. Review of the literature showed  that the neurotoxic potential of inhalation exposures to these compounds in  humans is unknown. Physico-chemical properties demonstrate these compounds are  lipophilic, and molecular weights indicate vitamin E and vitamin E acetate have  the potential for BBB permeability. Computational models also predict both  compounds may cross the BBB via passive diffusion. Based on literature search,  no experimental nonclinical studies and clinical information on the neurotoxic  potential of vitamin E via inhalation. Neurotoxic effects from pyrolysis  by-product, phenyl acetate, structurally analogous to vitamin E acetate,  suggests vitamin E acetate has potential for central nervous system (CNS)  impairment. Cheminformatic model predictions provide a theoretical basis for  potential CNS permeability of these inhaled dietary ingredients suggesting  prioritization to evaluate for potential hazard to the CNS.",Literature review on neuroto
Impact of Electronic Cigarette Vaping on Cerebral Ischemia: What We Know So Far.,"Siegel J(#)(1), Patel SH(#)(1), Mankaliye B(1), Raval AP(2)(3).",10.1007/s12975-022-01011-w,"Electronic cigarettes (ECs) are battery-powered nicotine delivery devices that  have rapidly gained popularity and attention globally. ECs work by heating a  liquid to produce an aerosol that usually contains nicotine, flavoring  compounds, and other chemicals, which are inhaled during vaping. EC aerosols are  depicted to contain a lower number and overall quantity of harmful toxicants  than conventional cigarettes (CCs). However, emerging research indicates that EC  aerosols contain harmful ingredients including ultrafine particles, volatile  organic compounds, and heavy metals. One common ingredient found in both CCs and  ECs is nicotine, which has been shown to be both highly addictive and toxic.  Particularly relevant to our current review, there is an enormous amount of  literature that shows that smoking-derived nicotine exacerbates ischemic brain  damage. Therefore, the question arises: will EC use impact the outcome of  stroke? ECs are highly popular and relatively new in the market; thus, our  understanding about the long-term effects of EC use on brain are lacking. The  current review strives to extrapolate the existing understanding of the  nicotine-induced effects of conventional smoking on the brain to the possible  effects that ECs may have on the brain, which may ultimately have a potential  for adverse stroke risk or severity.",Review of electronic cigarette effects.
Electronic Cigarettes—A Narrative Review for Clinicians.,"Orellana-Barrios MA(1), Payne D(2), Mulkey Z(2), Nugent K(2).",10.1016/j.amjmed.2015.01.033,"Electronic cigarettes (e-cigarettes) were introduced into the US market in 2007  and have quickly become a popular source of nicotine for many patients. They are  designed to simulate smoking by heating a nicotine-containing solution producing  an aerosol that the user inhales. The short- and long-term effects of  e-cigarette use are still unclear, but their use is increasing. Some acute  effects of e-cigarettes on heart rate, blood pressure, and airway resistance are  reported. Although there are some reports of improved cessation in a subset of  users, there are also studies reporting decreased cessation in dual users of  regular and e-cigarettes. Additionally, there is no current regulation of these  devices, and this allows virtually anyone with a form of online payment to  obtain them.",Observational study on e-cigarettes
"E-cigarettes and arrhythmogenesis: a comprehensive review of pre-clinical 
studies and their clinical implications.","Jones CA(1), Wallace MJ(1), Bandaru P(1), Woodbury ED(1), Mohler PJ(1)(2), Wold 
LE(1)(3).",10.1093/cvr/cvad113,"Electronic cigarette use has grown exponentially in recent years, and while  their popularity has increased, the long-term effects on the heart are yet to be  fully studied and understood. Originally designed as devices to assist with  those trying to quit traditional combustible cigarette use, their popularity has  attracted use by teens and adolescents who traditionally have not smoked  combustible cigarettes. Acute effects on the heart have been shown to be similar  to traditional combustible cigarettes, including increased heart rate and blood  pressure. The main components of electronic cigarettes that contribute to these  arrhythmic effects are found in the e-liquid that is aerosolized and inhaled,  comprised of nicotine, flavourings, and a combination of vegetable glycerin (VG)  and propylene glycol (PG). Nicotine can potentially induce both ventricular and  atrial arrhythmogenesis, with both the atrial and ventricular effects resulting  from the interactions of nicotine and the catecholamines they release via  potassium channels. Atrial arrhythmogenesis, more specifically atrial  fibrillation, can also occur due to structural alterations, which happens  because of nicotine downregulating microRNAs 133 and 590, both  post-transcriptional growth factor repressors. Liquid flavourings and the  combination of PG and VG can possibly lead to arrhythmic events by exposing  users to acrolein, an aldehyde that stimulates TRPA1 that in turn causes a  change towards sympathetic activation and autonomic imbalance. The design of  these electronic delivery devices is constantly changing; therefore, it has  proven extremely difficult to study the long-term effects on the heart caused by  electronic cigarettes but will be important to understand given their rising  popularity. The arrhythmic effects of electronic cigarettes appear similar to  traditional cigarettes as well; however, a comprehensive review has not been  compiled and is the focus of this article.",Longitudinal observational study on
"Effects of Electronic Nicotine Delivery Systems and Cigarettes on Systemic 
Circulation and Blood-Brain Barrier: Implications for Cognitive Decline.","Heldt NA(1), Reichenbach N(2), McGary HM(2), Persidsky Y(3).",10.1016/j.ajpath.2020.11.007,"Electronic nicotine delivery systems (often known as e-cigarettes) are a novel  tobacco product with growing popularity, particularly among younger  demographics. The implications for public health are twofold, as these products  may represent a novel source of tobacco-associated disease but may also provide  a harm reduction strategy for current tobacco users. There is increasing  recognition that e-cigarettes impact vascular function across multiple organ  systems. Herein, we provide a comparison of evidence regarding the role of  e-cigarettes versus combustible tobacco in vascular disease and implications for  blood-brain barrier dysfunction and cognitive decline. Multiple non-nicotinic  components of tobacco smoke have been identified in e-cigarette aerosol, and  their involvement in vascular disease is discussed. In addition, nicotine and  nicotinic signaling may modulate peripheral immune and endothelial cell  populations in a highly context-dependent manner. Direct preclinical evidence  for electronic nicotine delivery system-associated neurovascular impairment is  provided, and a model is proposed in which non-nicotinic elements exert a  proinflammatory effect that is functionally antagonized by the presence of  nicotine.",Comparative study on e-cigarettes
"Chronic Electronic Cigarette Use and Atherosclerosis Risk in Young People: A 
Cross-Sectional Study-Brief Report.","Kelesidis T(1), Sharma M(1), Sharma E(1), Ruedisueli I(2), Tran E(2), 
Middlekauff HR(2).",10.1161/ATVBAHA.123.319172,"BACKGROUND: Little is known whether electronic cigarettes (ECIG) increase  vulnerability to future atherosclerotic cardiovascular disease. We determined,  using an ex vivo mechanistic atherogenesis assay, whether proatherogenic changes  including monocyte transendothelial migration and monocyte-derived foam cell  formation are increased in people who use ECIGs. METHODS: In a cross-sectional single-center study using plasma and peripheral  blood mononuclear cells from healthy participants who are nonsmokers or with  exclusive use of ECIGs or tobacco cigarettes (TCIGs), autologous peripheral  blood mononuclear cells with patient plasma and pooled peripheral blood  mononuclear cells from healthy nonsmokers with patient plasma were utilized to  dissect patient-specific ex vivo proatherogenic circulating factors present in  plasma and cellular factors present in monocytes. Our main outcomes were  monocyte transendothelial migration (% of blood monocyte cells that undergo  transendothelial migration through a collagen gel) and monocyte-derived foam  cell formation as determined by flow cytometry and the median fluorescence  intensity of the lipid-staining fluorochrome BODIPY in monocytes of participants  in the setting of an ex vivo model of atherogenesis. RESULTS: Study participants (N=60) had median age of 24.0 years (interquartile  range [IQR], 22.0-25.0 years), and 31 were females. Monocyte transendothelial  migration was increased in people who exclusively used TCIGs (n=18; median  [IQR], 2.30 [ 1.29-2.82]; P<0.001) and in people who exclusively used ECIGs  (n=21; median [IQR], 1.42 [ 0.96-1.91]; P<0.01) compared with nonsmoking  controls (n=21; median [IQR], 1.05 [0.66-1.24]). Monocyte-derived foam cell  formation was increased in people who exclusively used TCIGs (median [IQR], 2.01  [ 1.59-2.49]; P<0.001) and in people who exclusively used ECIGs (median [IQR],  1.54 [ 1.10-1.86]; P<0.001) compared with nonsmoker controls (median [IQR], 0.97  [0.86-1.22]). Both monocyte transendothelial migration and monocyte-derived foam  cell formation were higher in TCIG smokers compared with ECIG users and in ECIG  users who were former smokers versus ECIG users who were never smokers (P<0.05  for all comparisons). CONCLUSIONS: The finding of alterations in proatherogenic properties of blood  monocytes and plasma in TCIG smokers compared with nonsmokers validates this  assay as a strong ex vivo mechanistic tool with which to measure proatherogenic  changes in people who use ECIGs. Similar yet significantly less severe  alterations in proatherogenic properties of monocytes and plasma were detected  in the blood from ECIG users. Future studies are necessary to determine whether  these findings are attributable to a residual effect of prior smoking or are a  direct effect of current ECIG use.",Cross-sectional study on ECIG
"Impact of Heated Tobacco Products, E-Cigarettes, and Cigarettes on Inflammation 
and Endothelial Dysfunction.","Belkin S(1)(2), Benthien J(1)(2), Axt PN(1)(2), Mohr T(1)(2), Mortensen K(3)(4), 
Weckmann M(2)(5), Drömann D(1)(2), Franzen KF(1)(2).",10.3390/ijms24119432,"In addition to the market launch of heated tobacco products (HTPs) and the JUUL  as well as the EVALI, they caused a widespread discussion on the risk reduction  compared to a combustible cigarette. Furthermore, first data showed harmful  effects on the cardiovascular system. We, therefore, conducted investigations  including a control group with a nicotine-free liquid. Forty active smokers were  studied in two different approaches during and after consuming an HTP, a  cigarette, a JUUL, or a typical electronic cigarette with or without nicotine in  a partly double-blinded randomised, cross-over trial. Inflammation, endothelial  dysfunction, and blood samples (full blood count, ELISA, multiplex immunoassay)  were analysed, and arterial stiffness was measured. In addition to the  cigarette, an increase in the white blood cell count but also in proinflammatory  cytokines was shown for the various nicotine delivery systems. These correlated  with the parameters of arterial vascular stiffness as a clinical parameter of  endothelial dysfunction. It can be shown that even a single consumption of the  different nicotine delivery system or cigarette leads to a significant  inflammatory reaction followed by endothelial dysfunction and increased arterial  stiffness causing cardiovascular disease. Inflammation, endothelial dysfunction,  and arterial stiffness should be addressed in long-term observational studies.",Randomised cross-over trial on
"E-Cigarette Use: Device Market, Study Design, and Emerging Evidence of 
Biological Consequences.","Snoderly HT(1)(2), Nurkiewicz TR(2)(3), Bowdridge EC(2)(3), Bennewitz MF(1)(2).",10.3390/ijms222212452,"Electronic cigarettes are frequently viewed as a safer alternative to  conventional cigarettes; however, evidence to support this perspective has not  materialized. Indeed, the current literature reports that electronic cigarette  use is associated with both acute lung injury and subclinical dysfunction to the  lung and vasculature that may result in pathology following chronic use.  E-cigarettes can alter vascular dynamics, polarize innate immune populations  towards a proinflammatory state, compromise barrier function in the pulmonary  endothelium and epithelium, and promote pre-oncogenic phenomena. This review  will summarize the variety of e-cigarette products available to users, discuss  current challenges in e-cigarette study design, outline the range of pathologies  occurring in cases of e-cigarette associated acute lung injury, highlight  disease supporting tissue- and cellular-level changes resulting from e-cigarette  exposure, and briefly examine how these changes may promote tumorigenesis.  Continued research of the mechanisms by which e-cigarettes induce pathology  benefit users and clinicians by resulting in increased regulation of vaping  devices, informing treatments for emerging diseases e-cigarettes produce, and  increasing public awareness to reduce e-cigarette use and the onset of  preventable disease.",Review of e-cigarette pathology
What factors reliably predict electronic cigarette nicotine delivery?,"Blank MD(1), Pearson J(2)(3), Cobb CO(4), Felicione NJ(5), Hiler MM(4), Spindle 
TR(6), Breland A(4).",10.1136/tobaccocontrol-2019-055193,"BACKGROUND: The ability of an electronic cigarette (e-cigarette) to deliver  nicotine effectively may be dependent on features of the device, the liquid and  the user. Some of these features have been examined in previous work (eg, liquid  nicotine concentration and puff topography), while others have not (eg, nicotine  dependence and demographic characteristics). The purpose of this secondary  analysis is to examine such features as predictors of e-cigarette nicotine  delivery using a relatively large sample. METHODS: Four studies were combined in which e-cigarette-experienced users  (n=63; 89% men; 75% white) and e-cigarette-naïve cigarette smokers (n=67; 66%  men; 54% white) took 10 puffs from an eGo-style e-cigarette (~7.3 watts) filled  with liquid that had a nicotine concentration of 18, 25 or 36 mg/mL. Thus, held  constant across all studies were device features of battery/cartomiser style and  power level and the topography parameters of puff number and interpuff interval.  Blood was sampled before and after use, and puff topography was measured. Three  general linear models were conducted to predict plasma nicotine concentrations  (pre-post increase) for: (1) e-cigarette users only, (2) smokers only and (3)  both groups combined. Predictor variables included puff duration, puff volume,  liquid nicotine concentration, presession plasma nicotine concentration,  nicotine dependence score (smokers only), gender and race. RESULTS: In all models tested, longer puff durations and higher liquid nicotine  concentrations were associated significantly with increased nicotine delivery  (ps<0.05). For e-cigarette users only, higher presession nicotine concentration  was associated significantly with increased nicotine delivery (p<0.05). CONCLUSIONS: Puff duration and liquid nicotine concentration may be among the  more important factors to consider as regulators attempt to balance e-cigarette  safety with efficacy. These findings should be interpreted in the context of  devices with relatively low power output, a variable not studied here but likely  also directly relevant to product regulation.",Secondary analysis of e-cigarette
The impact of vaping on ocular health: a literature review.,"Martheswaran T(1), Shmunes MH(2), Ronquillo YC(3), Moshirfar M(4)(5)(6).",10.1007/s10792-021-01842-w,"PURPOSE: Vaping, or the use of electronic cigarettes, was initially introduced  as a step toward smoking cessation, but has become an increasingly popular  option for smokers. Though advertised as safer than conventional cigarettes,  these devices have been found to contain carcinogenic chemicals, air pollutants,  and heavy metals. The purpose of this article is to shed light on the known  effects of vaping on the ocular setting and raise the discussion about  additional potential effects that may call for further investigation. METHODS: A comprehensive literature search was conducted for publications  pertaining to the effects of vaping on the eye. Relevant studies and findings  were summarized in this article. RESULTS: It was found that aldehydes and free radicals present in electronic  cigarettes may induce a disturbance in tear film stability, and vape flavorings  may damage the lipid layer through peroxidation. Corneal staining has been shown  to appear following exposure to e-cigarette vapor, with nicotine and acrolein  potentially inducing an inflammatory response in corneal epithelial cells. In  addition, nicotine has been shown to induce nystagmus, exert vasoconstrictive  effects on ocular blood flow, and may interfere with retinal light-adapted  vision. Vape-related explosions, though unpredictable, may also result in  decreased visual acuity along with long-term ocular trauma. CONCLUSION: Research discussing both the short-term and long-term effects of  vaping on the eye is limited. However, the potential harms of substances such as  nicotine and aldehydes warrant additional investigation and increased education  about the detriment that electronic cigarettes may inflict on sensitive organs.",Literature review on vaping effects
Metal exposure and biomarker levels among e-cigarette users in Spain.,"Olmedo P(1), Rodrigo L(1), Grau-Pérez M(2), Hilpert M(3), Navas-Acién A(3), 
Téllez-Plaza M(4), Pla A(1), Gil F(5).",10.1016/j.envres.2021.111667,"The use of electronic cigarettes (e-cigarettes) has increased due to the belief  that they are healthier than tobacco cigarettes. E-cigarettes contain a metallic  heating coil (composed of Ni, Cr, Al and other metals) to heat a solution  (commonly called e-liquid) and convert it into an aerosol. This aerosol is  inhaled (vaped) by the users who can be potentially exposed to a wide variety of  metals. We investigated the possible transfer of metals from the coil to the  e-liquid and the generated aerosol, and how the exposure to this aerosol can  increase metal body burden in e-cigarette users. We recruited 75 e-cigarette  users (50 who only vaped and 25 dual users who vaped and smoked) and 25 controls  who neither vaped nor smoked. E-liquid samples before (dispenser e-liquid) and  after (tank e-liquid) being added to their devices were collected. Aerosol  samples were collected using a condensation method. All participants provided  urine and hair samples. All samples were analyzed for metals by ICP-MS. We  observed higher metal concentrations in the aerosol and tank e-liquid (in  contact with the coil) compared to the dispenser e-liquid (before contact with  the coil). The median concentrations for some of the metals with the most  remarkable increases in aerosol and tank e-liquid vs. dispenser e-liquid were  36.90 and 62.73 vs. 18.29 μg/kg for Al; 6.71 and 28.97 vs. 0.98 μg/kg for Cr;  91.39 and 414.47 vs. 1.64 μg/kg for Ni; 738.99 and 744.24 vs. 16.56 μg/kg for  Zn; and 10.17 and 22.31 vs. 0.88 μg/kg for Pb. We also found detectable and  potentially high concentrations of other metals such as Mn, Cu, Sb and Sn. In  urine, increases in the median levels (μg/g creatinine) in vapers/duals vs.  controls were observed for some metals, including Cr (0.34/0.28 vs. 0.20), Cu  (1.72/2.36 vs. 1.46), Sn (0.26/0.31 vs. 0.18) and Pb (0.39/0.44 vs. 0.22). In  hair, there were no differences in metal concentrations among the three groups.  In conclusion, e-cigarettes are likely a source of metals such as Cr, Cu, Ni, Pb  or Sn. These metals come from the device, likely the heating resistance, as  their concentrations were low in the dispenser e-liquid and higher in the  aerosol and the e-liquid left in the tank. Although the exposure to e-cigarette  aerosol can have an influence in the body burden of metals, aerosol metal levels  were not clearly associated with metal levels in biological samples such as  urine or hair in e-cigarette users in this study.",Cross-sectional observational study on e
"Effect of electronic cigarette and tobacco smoking on the human saliva microbial 
community.","Wang X(1)(2), Mi Q(1), Yang J(1), Guan Y(1), Zeng W(1), Xiang H(1), Liu X(1), 
Yang W(1), Yang G(1), Li X(1), Cui Y(3), Gao Q(4).",10.1007/s42770-022-00721-5,"Increasing evidence demonstrated the oral microbial community profile  characteristics affected by conventional cigarettes smoking, but few studies  focus on oral microbiome in response to electronic cigarettes (E-cigarettes).  This study aimed to investigate the effect of E-cigarettes on the oral  microbiome and to describe the difference of oral community profiles between  E-cigarette smokers and tobacco smokers. 16S rRNA V4 gene sequencing was  performed to investigate the oral microbial profiles of 5 E-cigarette smokers,  14 tobacco smokers, 8 quitting tobacco smokers, and 6 nonsmokers. The Chao1,  ACE, and Shannon diversity indexes increased significantly in saliva samples  collected from E-cigarette smokers and tobacco smokers compared to the  non-smokers, and no significant difference was found in alpha diversity between  E-cigarette smokers and tobacco smokers. The main phyla Proteobacteria,  Firmicutes, Bacteroidetes, and Fusobacteria and major genera Neisseria,  Streptococcus, Prevotellaceae, Fusobacterium, and Porphyromonas dominated in the  smoking groups, while Actinobacteria, Proteobacteria, Firmicutes, Bacteroidetes,  and Fusobacteria became the dominant phyla along with the genera  Corynebacterium, Neisseria, Streptococcus, Actinomyces, and Porphyromonas in the  nonsmokers. The differences in the phylum Actinobacteria and genus  Corynebacterium contributed to various functional differences between smokers  and nonsmokers. The difference on oral microbial and composition between  E-cigarettes and common tobacco were associated with increased Prevotellaceae  and decreased Neisseria. Additionally, smoking cessation could lead to  re-establishment of the oral microbiome to that of nonsmokers. Our data  demonstrate that E-cigarette smoking had different effects on the structure and  composition of the oral microbial community compared to tobacco smoking.  However, the short- and long-term impact of E-cigarette smoking on microbiome  composition and function needs further exploration.",Comparative observational study on microbi
"E-cigarette vapor renders neutrophils dysfunctional due to filamentous actin 
accumulation.","Jasper AE(1), Faniyi AA(1), Davis LC(1), Grudzinska FS(1), Halston R(1), 
Hazeldine J(2), Parekh D(3), Sapey E(4), Thickett DR(5), Scott A(6).",10.1016/j.jaci.2023.08.025,"BACKGROUND: Electronic cigarette (e-cigarette) use continues to rise despite  concerns of long-term effects, especially the risk of developing lung diseases  such as chronic obstructive pulmonary disease. Neutrophils are central to the  pathogenesis of chronic obstructive pulmonary disease, with changes in phenotype  and function implicated in tissue damage. OBJECTIVE: We sought to measure the impact of direct exposure to  nicotine-containing and nicotine-free e-cigarette vapor on human neutrophil  function and phenotype. METHODS: Neutrophils were isolated from the whole blood of self-reported  nonsmoking, nonvaping healthy volunteers. Neutrophils were exposed to 40 puffs  of e-cigarette vapor generated from e-cigarette devices using flavorless  e-cigarette liquids with and without nicotine before functions, deformability,  and phenotype were assessed. RESULTS: Neutrophil surface marker expression was altered, with CD62L and CXCR2  expression significantly reduced in neutrophils treated with e-cigarette vapor  containing nicotine. Neutrophil migration to IL-8, phagocytosis of Escherichia  coli and Staphylococcus aureus pHrodo bioparticles, oxidative burst response,  and phorbol 12-myristate 13-acetate-stimulated neutrophil extracellular trap  formation were all significantly reduced by e-cigarette vapor treatments,  independent of nicotine content. E-cigarette vapor induced increased levels of  baseline polymerized filamentous actin levels in the cytoplasm, compared with  untreated controls. CONCLUSIONS: The significant reduction in effector neutrophil functions after  exposure to high-power e-cigarette devices, even in the absence of nicotine, is  associated with excessive filamentous actin polymerization. This highlights the  potentially damaging impact of vaping on respiratory health and reinforces the  urgency of research to uncover the long-term health implications of  e-cigarettes.",In vitro experimental study on neut
